DankPlant,Plant,10,10,10,0,0,0,0,0,0,0,0,0,1,1,1,0
DankPlant,Plant,20,10,10,0,0,0,0,0,0,0,0,0,1,1,1,0
DankPlant,Plant,30,10,10,0,0,0,0,0,0,0,0,0,1,1,1,0
DankPlant,Plant,40,10,10,0,0,0,0,0,0,0,0,0,1,1,1,0
DankPlant,Plant,50,10,10,0,0,0,0,0,0,0,0,0,1,1,1,0
DankPlant,Plant,50,10,10,0,0,0,0,0,0,0,0,0,1,1,1,0
DankBob,Bob,10,10,20,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0
DankBob,Bob,20,10,20,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0
DankBob,Bob,30,10,20,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0
DankBob,Bob,40,10,20,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0
DankBob,Bob,50,10,20,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0
DankBob,Bob,50,10,20,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0
