Fargrim01,Charlie Figgans,Bob,25,22.794116973877,25,45,270,0,0.75,0.75,0.75,0,-1,100
Bob8-05/26/17-22:31:40,Joe Dent,Bob,600,29.803922653198,600,225,270,0,0.25,0.25,0.25,0,-1,100
Bob9-05/26/17-22:31:40,Falmin Fargin,Bob,400,29.019609451294,600,135,270,0,0.25,0.25,0.25,0,-1,100
Bob10-05/26/17-22:31:40,One Legged Jeff,Bob,600,50.980396270752,400,315,270,0,0.25,0.25,0.25,0,-1,100
Airship11-05/26/17-22:31:40,The Cutlass,Airship,370,200,130,0,0,0,30,30,30,0,-1,100
Airship12-05/26/17-22:31:40,The Avenger,Airship,800,750,130,0,0,0,50,50,50,0,-1,100
Bob13-05/26/17-22:31:40,Mr Spindles,Bob,550,35.098037719727,600,0,0,0,1,1,1,0,-1,100
Bob14-05/26/17-22:31:40,Spindles,Bob,645,33.039215087891,600,34,0,0,0.25,0.25,0.25,0,-1,100
Bob15-05/26/17-22:31:40,Spindles,Bob,550,31.813726425171,621,99,0,0,0.25,0.25,0.25,0,-1,100
Bob16-05/26/17-22:31:40,Spindles,Bob,524,15.294117927551,600,271,0,0,0.25,0.25,0.25,0,-1,100
Bob17-05/26/17-22:31:40,Warrior,Bob,349,19.215686798096,366,0,0,0,0.25,0.25,0.25,0,-1,100
Bob18-05/26/17-22:31:40,Sparks,Bob,99,53.725494384766,425,0,0,0,0.25,0.25,0.25,0,-1,100
Bob19-05/26/17-22:31:40,Mr Tank,Bob,600,44.313724517822,500,0,0,0,0.25,0.25,0.25,0,-1,100
Bob20-05/26/17-22:31:40,Mr Tank Jr,Bob,300,15.686275482178,200,0,0,0,0.25,0.25,0.25,0,-1,100
Bob21-05/26/17-22:31:40,Droney,Bob,300,15.686275482178,200,0,0,0,0.25,0.25,0.25,0,-1,100
Bob22-05/26/17-22:31:40,spikle,Bob,32,10,982,0,0,0,0.25,0.25,0.25,0,-1,100
Bob23-05/26/17-22:31:40,spokle,Bob,34,25.588237762451,29,0,0,0,0.25,0.25,0.25,0,-1,100
NPC01,Bob the Human,Bob,100,41.764709472656,100,0,1,0,3,3,3,0,39,100
